,Path,Celebrity,Feature_Embedding
4435,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway152_343.jpg,pins_Anne Hathaway,[0.06480038 0.05173228 0.05727474 ... 0.03653307 0.         0.02002205]
4436,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway52_455.jpg,pins_Anne Hathaway,[0.13335752 0.04319137 0.11661156 ... 0.014118   0.02885157 0.00421795]
4437,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway1_294.jpg,pins_Anne Hathaway,[0.320165   0.02098206 0.01840152 ... 0.05012714 0.01056291 0.01964507]
4438,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway175_361.jpg,pins_Anne Hathaway,[0.02352538 0.0030394  0.00992368 ... 0.         0.         0.00653023]
4439,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway237_419.jpg,pins_Anne Hathaway,[0.27529043 0.08155986 0.01932923 ... 0.05224775 0.01426183 0.02715944]
4440,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway114_308.jpg,pins_Anne Hathaway,[0.06433888 0.08892218 0.06462611 ... 0.05308153 0.00010146 0.01083676]
4441,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway23_411.jpg,pins_Anne Hathaway,[0.5090437  0.00220125 0.08654288 ... 0.0713345  0.00056243 0.01574056]
4442,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway26_430.jpg,pins_Anne Hathaway,[0.09353589 0.02718803 0.00706376 ... 0.07552076 0.00044247 0.00676215]
4443,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway183_370.jpg,pins_Anne Hathaway,[0.29613155 0.00085357 0.0311436  ... 0.07217532 0.0014038  0.01274204]
4444,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway71_471.jpg,pins_Anne Hathaway,[0.03937947 0.03544337 0.02833649 ... 0.05599857 0.         0.01931995]
4445,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway194_382.jpg,pins_Anne Hathaway,[0.02013562 0.03870451 0.05566707 ... 0.02196953 0.         0.00649028]
4446,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway166_353.jpg,pins_Anne Hathaway,[0.34425962 0.02166882 0.09917882 ... 0.027014   0.01512079 0.0114186 ]
4447,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway196_384.jpg,pins_Anne Hathaway,[0.21763861 0.00587241 0.0060783  ... 0.05061553 0.06212489 0.01104114]
4448,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway224_406.jpg,pins_Anne Hathaway,[0.06504077 0.01794444 0.0204889  ... 0.07316886 0.0003092  0.05244741]
4449,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway3_434.jpg,pins_Anne Hathaway,"[1.0547514e-01 2.3653572e-02 1.6135314e-02 ... 6.8165660e-02 9.8542288e-05
 5.7531551e-02]"
4450,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway91_490.jpg,pins_Anne Hathaway,[0.32419062 0.0382252  0.02904573 ... 0.05757747 0.02055055 0.01024972]
4451,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway197_385.jpg,pins_Anne Hathaway,[0.03284138 0.02213897 0.02580801 ... 0.02327523 0.         0.01187744]
4452,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway53_456.jpg,pins_Anne Hathaway,[0.20643061 0.00443636 0.00765801 ... 0.02201233 0.01535237 0.0087944 ]
4453,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway86_485.jpg,pins_Anne Hathaway,[0.32687908 0.00456442 0.06179905 ... 0.0731075  0.         0.02335389]
4454,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway165_352.jpg,pins_Anne Hathaway,[0.17017826 0.004671   0.0238907  ... 0.04326547 0.00351047 0.01623913]
4455,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway238_420.jpg,pins_Anne Hathaway,[0.32493156 0.10034765 0.01281933 ... 0.03931991 0.02446865 0.00484419]
4456,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway186_373.jpg,pins_Anne Hathaway,[0.01995471 0.03303542 0.05592282 ... 0.02085725 0.         0.0070018 ]
4457,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway236_418.jpg,pins_Anne Hathaway,[0.3074444  0.00439087 0.05504944 ... 0.09693803 0.         0.01979385]
4458,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway59_460.jpg,pins_Anne Hathaway,[0.1534779  0.03670103 0.07192811 ... 0.         0.06838898 0.00960411]
4459,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway136_328.jpg,pins_Anne Hathaway,[0.01795331 0.0254411  0.03506789 ... 0.02182551 0.         0.00938127]
4460,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway44_449.jpg,pins_Anne Hathaway,[0.3469554  0.07840641 0.01624383 ... 0.01566409 0.02237444 0.00273438]
4461,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway150_341.jpg,pins_Anne Hathaway,[0.25794858 0.01737468 0.016509   ... 0.06050205 0.02321839 0.02392593]
4462,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway229_410.jpg,pins_Anne Hathaway,[0.02323137 0.01076864 0.0113846  ... 0.0106194  0.         0.00718422]
4463,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway72_472.jpg,pins_Anne Hathaway,[0.21065962 0.01412013 0.04849941 ... 0.05742081 0.00455674 0.01350877]
4464,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway61_463.jpg,pins_Anne Hathaway,[0.3467645  0.01943746 0.04223886 ... 0.0778002  0.05994677 0.03008533]
4465,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway147_338.jpg,pins_Anne Hathaway,[0.02396828 0.01165415 0.02037193 ... 0.02248238 0.         0.0132593 ]
4466,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway79_478.jpg,pins_Anne Hathaway,[0.08974826 0.01590486 0.02319988 ... 0.05784192 0.         0.04173526]
4467,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway159_347.jpg,pins_Anne Hathaway,[0.19267553 0.03181351 0.06848644 ... 0.03283176 0.00913306 0.01040616]
4468,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway49_452.jpg,pins_Anne Hathaway,[0.07086621 0.02227791 0.01391559 ... 0.03893655 0.00318522 0.02783803]
4469,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway12_313.jpg,pins_Anne Hathaway,[0.4027207  0.00833913 0.04048381 ... 0.09287761 0.02233114 0.01146258]
4470,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway54_457.jpg,pins_Anne Hathaway,[0.21917608 0.03989156 0.07450383 ... 0.02200275 0.01952138 0.00722657]
4471,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway118_312.jpg,pins_Anne Hathaway,[0.00586606 0.         0.         ... 0.03099062 0.         0.01843574]
4472,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway214_399.jpg,pins_Anne Hathaway,[0.27654183 0.01470807 0.01181393 ... 0.04695055 0.01812712 0.0141686 ]
4473,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway14_331.jpg,pins_Anne Hathaway,[0.14532453 0.020812   0.01647764 ... 0.0624372  0.00222142 0.04008904]
4474,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway74_473.jpg,pins_Anne Hathaway,[0.26642275 0.00469756 0.02039119 ... 0.02007972 0.         0.09420583]
4475,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway117_311.jpg,pins_Anne Hathaway,[0.09838148 0.02912591 0.02221659 ... 0.03179919 0.00850305 0.02970646]
4476,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway228_409.jpg,pins_Anne Hathaway,[0.24034047 0.02954256 0.03788803 ... 0.06698425 0.02838209 0.0097573 ]
4477,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway21_397.jpg,pins_Anne Hathaway,[0.15793118 0.07757531 0.1309922  ... 0.01824106 0.06257321 0.00541205]
4478,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway232_414.jpg,pins_Anne Hathaway,[0.35652566 0.01197772 0.21114579 ... 0.00505899 0.02808239 0.0084351 ]
4479,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway81_481.jpg,pins_Anne Hathaway,[0.15971486 0.04940478 0.07199392 ... 0.0598193  0.00054514 0.01839377]
4480,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway178_364.jpg,pins_Anne Hathaway,[0.24770772 0.00422642 0.05470723 ... 0.06015087 0.01439669 0.01362926]
4481,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway190_378.jpg,pins_Anne Hathaway,[0.3140087  0.         0.02523677 ... 0.0354977  0.         0.02646082]
4482,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway106_301.jpg,pins_Anne Hathaway,[0.2923274  0.065611   0.01282869 ... 0.02897547 0.0179512  0.00527937]
4483,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway233_415.jpg,pins_Anne Hathaway,[0.22032496 0.03506139 0.07627761 ... 0.03558075 0.01333818 0.01001635]
4484,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway134_326.jpg,pins_Anne Hathaway,[0.2004347  0.01016829 0.0154513  ... 0.04457678 0.00541727 0.02646094]
4485,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway92_491.jpg,pins_Anne Hathaway,[0.2225902  0.016604   0.04497611 ... 0.06954059 0.02982772 0.02789266]
4486,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway45_450.jpg,pins_Anne Hathaway,[0.24580224 0.04006108 0.03856326 ... 0.0732886  0.03232836 0.01248218]
4487,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway124_317.jpg,pins_Anne Hathaway,[0.24762873 0.00839306 0.02085076 ... 0.06293244 0.0044269  0.02923267]
4488,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway241_423.jpg,pins_Anne Hathaway,[0.26791346 0.05260177 0.01494384 ... 0.04039009 0.00709917 0.01982488]
4489,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway199_386.jpg,pins_Anne Hathaway,[0.6467655  0.00073163 0.07377606 ... 0.14893183 0.00232382 0.01375802]
4490,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway10_295.jpg,pins_Anne Hathaway,[0.11026759 0.00278617 0.01491464 ... 0.01813965 0.         0.0210741 ]
4491,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway95_493.jpg,pins_Anne Hathaway,[0.35233572 0.01034816 0.03162694 ... 0.185001   0.00457374 0.05215826]
4492,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway34_438.jpg,pins_Anne Hathaway,[0.23036711 0.00206329 0.03681108 ... 0.07288282 0.00194527 0.02303641]
4493,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway126_319.jpg,pins_Anne Hathaway,[0.48185793 0.00483378 0.06994188 ... 0.08279447 0.00858377 0.00937197]
4494,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway67_467.jpg,pins_Anne Hathaway,[0.24780776 0.01681985 0.01460406 ... 0.05565815 0.00676918 0.01744844]
4495,/content/105_classes_pins_dataset/pins_Anne Hathaway/Anne Hathaway204_392.jpg,pins_Anne Hathaway,[0.32358205 0.00654943 0.05342711 ... 0.11463896 0.         0.01600921]
4496,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson54_2008.jpg,pins_Emma Watson,[0.03798575 0.02047951 0.05305315 ... 0.05250241 0.01212085 0.00491118]
4497,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson136_1871.jpg,pins_Emma Watson,[0.19124198 0.00291106 0.00643092 ... 0.02744044 0.00450464 0.00526202]
4498,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson134_1869.jpg,pins_Emma Watson,[0.09014183 0.00101253 0.         ... 0.02377068 0.00467362 0.01074369]
4499,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson13_1866.jpg,pins_Emma Watson,[0.4822158  0.00483951 0.03465626 ... 0.1353723  0.01044449 0.01501801]
4500,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson199_1934.jpg,pins_Emma Watson,[0.30269057 0.01456326 0.01754094 ... 0.06015738 0.01144655 0.02385483]
4501,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson164_1901.jpg,pins_Emma Watson,[0.25456405 0.00259906 0.01492801 ... 0.01977599 0.019703   0.01245482]
4502,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson159_1896.jpg,pins_Emma Watson,[0.08502035 0.03103419 0.03483057 ... 0.02493061 0.00261354 0.01446469]
4503,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson151_1884.jpg,pins_Emma Watson,[0.05671801 0.01909396 0.01060275 ... 0.06046049 0.         0.01680234]
4504,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson119_1857.jpg,pins_Emma Watson,[0.03887741 0.01315309 0.01314356 ... 0.03784153 0.         0.02243141]
4505,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson177_1915.jpg,pins_Emma Watson,[0.07281656 0.00162908 0.0132267  ... 0.07702728 0.         0.01773891]
4506,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson94_2050.jpg,pins_Emma Watson,[0.23092277 0.03485995 0.01266503 ... 0.00854451 0.02904463 0.02686682]
4507,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson0_1841.jpg,pins_Emma Watson,[0.31476775 0.02186775 0.02127548 ... 0.05703422 0.01198294 0.01838874]
4508,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson157_1894.jpg,pins_Emma Watson,[0.06763893 0.03657088 0.01379286 ... 0.05511346 0.00491957 0.01431439]
4509,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson160_1897.jpg,pins_Emma Watson,[0.3452722  0.00046827 0.03227901 ... 0.14258699 0.         0.01157448]
4510,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson65_2016.jpg,pins_Emma Watson,[0.04369286 0.01793324 0.05575521 ... 0.03545889 0.00082864 0.0042341 ]
4511,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson86_2038.jpg,pins_Emma Watson,[0.34323835 0.04405912 0.027561   ... 0.03308201 0.01963305 0.00286406]
4512,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson167_1903.jpg,pins_Emma Watson,[0.03244695 0.03561056 0.03135432 ... 0.02974974 0.         0.02552691]
4513,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson178_1916.jpg,pins_Emma Watson,[0.03953328 0.         0.00504864 ... 0.01341713 0.         0.07226539]
4514,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson65_2018.jpg,pins_Emma Watson,[0.04188854 0.01031188 0.01373549 ... 0.04088432 0.00126228 0.01774881]
4515,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson53_2007.jpg,pins_Emma Watson,[0.36536196 0.01933398 0.01234311 ... 0.06292091 0.08405929 0.01005047]
4516,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson30_1989.jpg,pins_Emma Watson,[0.08215142 0.01423713 0.01600072 ... 0.05580629 0.00028686 0.04957533]
4517,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson132_1868.jpg,pins_Emma Watson,[0.18501914 0.00356938 0.02583142 ... 0.03709015 0.01153575 0.03610947]
4518,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson193_1928.jpg,pins_Emma Watson,[0.10866537 0.01509186 0.02160197 ... 0.05494191 0.         0.03355384]
4519,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson231_1962.jpg,pins_Emma Watson,[0.04277504 0.00690694 0.01193752 ... 0.04066835 0.         0.02048758]
4520,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson248_1981.jpg,pins_Emma Watson,[0.00307225 0.         0.         ... 0.01170587 0.         0.03342168]
4521,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson221_1954.jpg,pins_Emma Watson,[0.27729163 0.00795387 0.04439408 ... 0.07845805 0.00060236 0.02441146]
4522,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson212_1947.jpg,pins_Emma Watson,[0.06498979 0.06788442 0.06401649 ... 0.04522872 0.         0.01847521]
4523,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson241_1970.jpg,pins_Emma Watson,[0.26528072 0.02734267 0.01261823 ... 0.04971469 0.03967234 0.02391929]
4524,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson67_2021.jpg,pins_Emma Watson,[0.01159879 0.00476699 0.01566997 ... 0.01894379 0.         0.01544332]
4525,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson23_1961.jpg,pins_Emma Watson,[0.25230467 0.02049853 0.01326733 ... 0.05547628 0.01382799 0.01389857]
4526,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson65_2019.jpg,pins_Emma Watson,[0.03358353 0.04673998 0.04578359 ... 0.02741053 0.         0.01335099]
4527,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson94_2048.jpg,pins_Emma Watson,[0.502062   0.00075158 0.09715348 ... 0.05218186 0.00203675 0.01716402]
4528,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson85_2037.jpg,pins_Emma Watson,[0.20882843 0.00088906 0.0447536  ... 0.00234433 0.00203316 0.02666809]
4529,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson101_1845.jpg,pins_Emma Watson,"[2.6359946e-01 2.3764007e-04 3.3335127e-02 ... 7.4261576e-02 1.6518370e-03
 1.6299758e-02]"
4530,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson157_1892.jpg,pins_Emma Watson,[0.02744248 0.00128767 0.010724   ... 0.03436751 0.         0.0171849 ]
4531,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson21_1944.jpg,pins_Emma Watson,[0.24199627 0.0212992  0.01247035 ... 0.0473286  0.02713254 0.02420303]
4532,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson123_1861.jpg,pins_Emma Watson,[0.34802294 0.0032947  0.02814559 ... 0.05607155 0.00435565 0.01225878]
4533,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson40_1996.jpg,pins_Emma Watson,[0.18221997 0.01767107 0.02118596 ... 0.07711373 0.00325219 0.0422654 ]
4534,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson5_2004.jpg,pins_Emma Watson,[0.220778   0.01152185 0.00948562 ... 0.04009235 0.02561999 0.01046766]
4535,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson110_1852.jpg,pins_Emma Watson,[0.02263395 0.         0.00268264 ... 0.01712454 0.         0.04965173]
4536,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson172_1911.jpg,pins_Emma Watson,[0.04209861 0.01916167 0.01578474 ... 0.05376084 0.         0.02645807]
4537,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson213_1948.jpg,pins_Emma Watson,"[1.4861190e-01 7.8929134e-04 6.6525596e-03 ... 4.7816213e-02 1.2825248e-04
 2.5245070e-02]"
4538,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson64_2014.jpg,pins_Emma Watson,[0.27626684 0.02656948 0.0540466  ... 0.05564553 0.06517298 0.01654607]
4539,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson73_2028.jpg,pins_Emma Watson,[0.07495981 0.01125105 0.01858641 ... 0.03674016 0.         0.02903534]
4540,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson99_2055.jpg,pins_Emma Watson,[0.06159476 0.02410185 0.00883394 ... 0.0668789  0.00091092 0.01713128]
4541,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson150_1882.jpg,pins_Emma Watson,[0.06135881 0.02689011 0.02127672 ... 0.09260843 0.         0.04591838]
4542,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson122_1860.jpg,pins_Emma Watson,[0.04443975 0.00271472 0.01035563 ... 0.02963865 0.         0.02524178]
4543,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson143_1873.jpg,pins_Emma Watson,[0.30297568 0.10567071 0.00923638 ... 0.01364564 0.0249841  0.00579004]
4544,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson150_1881.jpg,pins_Emma Watson,[0.02078581 0.02807663 0.01421603 ... 0.01479251 0.         0.00646189]
4545,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson162_1899.jpg,pins_Emma Watson,[0.03756702 0.01518198 0.02599398 ... 0.02611083 0.         0.01406816]
4546,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson248_1976.jpg,pins_Emma Watson,[0.16479436 0.04052113 0.05903827 ... 0.05710599 0.01497437 0.01495598]
4547,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson108_1850.jpg,pins_Emma Watson,[0.04403156 0.00494666 0.01057319 ... 0.02955517 0.         0.01230675]
4548,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson216_1951.jpg,pins_Emma Watson,[0.03470511 0.07555214 0.05226067 ... 0.03400286 0.         0.00940479]
4549,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson224_1957.jpg,pins_Emma Watson,[0.18001741 0.00344381 0.01268529 ... 0.08714738 0.00213033 0.02089687]
4550,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson157_1893.jpg,pins_Emma Watson,[0.3709159  0.00508951 0.05347821 ... 0.09725832 0.         0.01227424]
4551,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson181_1918.jpg,pins_Emma Watson,[0.03979281 0.01954558 0.01256223 ... 0.02308647 0.         0.01522046]
4552,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson25_1984.jpg,pins_Emma Watson,[0.03908642 0.03230288 0.02603579 ... 0.05578267 0.         0.02151722]
4553,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson247_1973.jpg,pins_Emma Watson,[0.4248155  0.01396731 0.03420057 ... 0.11122018 0.04014803 0.0115153 ]
4554,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson47_2001.jpg,pins_Emma Watson,[0.19826049 0.0043362  0.03136022 ... 0.05986122 0.00673071 0.03466384]
4555,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson169_1905.jpg,pins_Emma Watson,[0.07610881 0.00538623 0.02101776 ... 0.03136068 0.         0.03006482]
4556,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson88_2041.jpg,pins_Emma Watson,[0.01778809 0.00694385 0.01449806 ... 0.02841927 0.         0.01262724]
4557,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson70_2025.jpg,pins_Emma Watson,[0.04635546 0.0333397  0.04587757 ... 0.02152345 0.         0.00952104]
4558,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson104_1846.jpg,pins_Emma Watson,[0.33751795 0.00192414 0.05426506 ... 0.13039203 0.         0.01639331]
4559,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson224_1956.jpg,pins_Emma Watson,[0.31729046 0.00827233 0.00926057 ... 0.07007595 0.06300283 0.0173578 ]
4560,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson75_2030.jpg,pins_Emma Watson,[0.07035928 0.0467286  0.07997293 ... 0.02062739 0.         0.00977585]
4561,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson71_2026.jpg,pins_Emma Watson,[0.2600425  0.02407377 0.03263866 ... 0.04199866 0.0352327  0.01428145]
4562,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson234_1964.jpg,pins_Emma Watson,[0.03409278 0.00117118 0.00934361 ... 0.02215683 0.         0.01721002]
4563,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson196_1931.jpg,pins_Emma Watson,[0.28218427 0.0534512  0.01543135 ... 0.00780209 0.03008832 0.00803818]
4564,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson238_1968.jpg,pins_Emma Watson,[0.01937214 0.02164587 0.01545699 ... 0.01546912 0.         0.0083857 ]
4565,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson114_1854.jpg,pins_Emma Watson,[0.6331156  0.0044358  0.03434889 ... 0.24212973 0.         0.00871801]
4566,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson179_1917.jpg,pins_Emma Watson,[0.17546535 0.00788853 0.01367904 ... 0.02416017 0.00190003 0.00537004]
4567,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson145_1874.jpg,pins_Emma Watson,[0.31212613 0.02273645 0.02535448 ... 0.06517162 0.01506671 0.01682932]
4568,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson234_1965.jpg,pins_Emma Watson,[0.05551862 0.01856967 0.02081965 ... 0.06244741 0.         0.06000577]
4569,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson72_2027.jpg,pins_Emma Watson,[0.06326861 0.09572203 0.05701431 ... 0.06337976 0.00081517 0.00971579]
4570,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson249_1983.jpg,pins_Emma Watson,[0.04651411 0.01667426 0.01741864 ... 0.02831327 0.         0.01665187]
4571,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson65_2017.jpg,pins_Emma Watson,[0.02018409 0.0168626  0.01033203 ... 0.01891208 0.         0.00969988]
4572,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson227_1960.jpg,pins_Emma Watson,[0.04604222 0.00153923 0.00605215 ... 0.04405359 0.         0.02180255]
4573,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson150_1883.jpg,pins_Emma Watson,[0.54077256 0.0177567  0.04669684 ... 0.2240516  0.         0.00937017]
4574,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson242_1971.jpg,pins_Emma Watson,[0.01653451 0.00537226 0.01237782 ... 0.01544961 0.         0.00933766]
4575,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson4_1995.jpg,pins_Emma Watson,[0.22739282 0.03455406 0.04095489 ... 0.05383212 0.01199181 0.01549404]
4576,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson203_1939.jpg,pins_Emma Watson,[0.33623233 0.00243893 0.01866432 ... 0.05828455 0.01387269 0.0165398 ]
4577,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson202_1938.jpg,pins_Emma Watson,[0.1816271  0.01046679 0.01137438 ... 0.02352663 0.00364583 0.00529871]
4578,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson69_2023.jpg,pins_Emma Watson,[0.22666436 0.01606691 0.00367253 ... 0.1058559  0.05994848 0.01748797]
4579,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson197_1932.jpg,pins_Emma Watson,[0.09492236 0.01992689 0.00710132 ... 0.09653318 0.         0.01032461]
4580,/content/105_classes_pins_dataset/pins_Emma Watson/Emma Watson169_1907.jpg,pins_Emma Watson,[0.18368682 0.00524537 0.04447256 ... 0.03286723 0.         0.02837497]
